opportunity_id,account_name,rep_name,manager,rep_tier,stage,industry,region,product,deal_value,created_date,close_date,time_to_close_days,last_activity_date,calls_made,emails_sent,meetings_held,forecast_close_rate,actual_close_rate,fiscal_year,fiscal_quarter
OPP-000022,Account_03790,Rep_035,Manager_07,Low,Needs Analysis,Retail,North America,Add-On Services,15684.11,2023-01-11,2023-04-13,92,2023-02-16,15,8,0,0.3975,0.385,2023,1
OPP-000023,Account_01363,Rep_042,Manager_07,Low,Closed Lost,Education,LATAM,Enterprise Suite,115221.23,2022-07-11,2022-08-24,44,2022-07-27,16,15,6,0.3511,0.3534,2022,3
OPP-000024,Account_07591,Rep_004,Manager_04,Top,Prospecting,Energy,APAC,Enterprise Suite,127333.7,2024-03-10,2024-06-28,110,2024-04-13,14,33,2,0.759,0.6808,2024,1
OPP-000025,Account_00469,Rep_013,Manager_06,Mid,Qualification,Technology,LATAM,Enterprise Suite,109145.58,2022-05-05,2022-08-08,95,2022-06-15,17,35,2,0.4706,0.3313,2022,2
OPP-000026,Account_04875,Rep_004,Manager_04,Top,Closed Lost,Healthcare,EMEA,Enterprise Suite,137551.82,2023-01-16,2023-01-29,13,2023-01-18,13,9,3,0.6933,0.6269,2023,1
OPP-000027,Account_05386,Rep_038,Manager_03,Low,Decision Makers,Media,APAC,Professional Services,54937.72,2022-06-17,2022-09-24,99,2022-08-10,9,15,5,0.3732,0.3836,2022,2
OPP-000028,Account_02591,Rep_016,Manager_02,Mid,Qualification,Healthcare,North America,Pro Plan,23141.37,2023-09-07,2023-11-23,77,2023-11-05,15,8,1,0.4981,0.3639,2023,3
OPP-000029,Account_07217,Rep_035,Manager_07,Low,Qualification,Healthcare,EMEA,Starter Pack,16090.44,2022-09-29,2023-03-12,164,2022-12-28,12,20,2,0.3901,0.4236,2022,3
OPP-000030,Account_00065,Rep_029,Manager_01,Mid,Negotiation/Review,Logistics,APAC,Support Bundle,8535.86,2023-09-12,2023-10-19,37,2023-10-16,4,10,4,0.5608,0.5158,2023,3
OPP-000031,Account_02309,Rep_008,Manager_01,Top,Closed Won,Media,EMEA,Support Bundle,19320.59,2022-11-15,2022-12-03,18,2022-11-24,11,15,4,0.6938,0.4891,2022,4
OPP-000032,Account_06795,Rep_033,Manager_05,Low,Value Proposition,Manufacturing,North America,Enterprise Suite,109086.66,2022-07-09,2022-09-16,69,2022-09-02,1,23,2,0.4042,0.4367,2022,3
OPP-000033,Account_05781,Rep_041,Manager_06,Low,Closed Lost,Education,North America,Pro Plan,45350.26,2024-06-23,2024-07-16,23,2024-07-11,4,6,2,0.3737,0.2844,2024,2
OPP-000034,Account_01045,Rep_035,Manager_07,Low,Prospecting,Technology,APAC,Starter Pack,9691.57,2022-10-31,2023-03-06,126,2022-12-26,12,4,5,0.4137,0.3357,2022,4
OPP-000035,Account_06391,Rep_014,Manager_07,Mid,Proposal/Price Quote,Logistics,LATAM,Support Bundle,16385.89,2022-07-30,2022-09-15,47,2022-08-22,20,11,3,0.5058,0.5746,2022,3
OPP-000036,Account_01470,Rep_011,Manager_04,Mid,Closed Lost,Real Estate,LATAM,Pro Plan,32091.25,2024-04-24,2024-05-28,34,2024-04-26,8,19,2,0.5197,0.416,2024,2
OPP-000037,Account_01635,Rep_045,Manager_03,Low,Prospecting,Energy,APAC,Enterprise Suite,56016.62,2024-08-21,2024-12-31,145,2024-10-17,10,16,3,0.3883,0.35,2024,3
OPP-000038,Account_07081,Rep_002,Manager_02,Top,Proposal/Price Quote,Healthcare,APAC,Add-On Services,14641.68,2023-11-04,2023-11-28,24,2023-11-13,12,34,6,0.7788,0.5995,2023,4
OPP-000039,Account_00945,Rep_044,Manager_02,Low,Closed Lost,Manufacturing,EMEA,Professional Services,76071.84,2023-11-10,2023-12-07,27,2023-11-11,19,18,0,0.4169,0.3214,2023,4
OPP-000040,Account_04967,Rep_007,Manager_07,Top,Decision Makers,Logistics,North America,Starter Pack,15458.03,2023-10-05,2023-11-22,48,2023-11-02,13,14,4,0.6822,0.6918,2023,4
OPP-000041,Account_02984,Rep_003,Manager_03,Top,Proposal/Price Quote,Education,North America,Enterprise Suite,136993.59,2024-11-30,2024-12-31,32,2024-12-13,11,22,1,0.7392,0.6785,2024,4
OPP-000042,Account_02673,Rep_047,Manager_05,Low,Closed Won,Education,APAC,Professional Services,106506.62,2023-09-26,2023-10-16,20,2023-10-10,18,10,3,0.3664,0.2723,2023,3
OPP-000043,Account_03327,Rep_027,Manager_06,Mid,Proposal/Price Quote,Logistics,North America,Add-On Services,21636.0,2022-12-23,2023-01-24,32,2023-01-12,10,20,3,0.5385,0.3545,2022,4
OPP-000044,Account_03620,Rep_028,Manager_07,Mid,Negotiation/Review,Energy,EMEA,Professional Services,52931.63,2023-10-22,2023-11-22,31,2023-11-06,17,32,2,0.5351,0.3945,2023,4
OPP-000045,Account_06705,Rep_043,Manager_01,Low,Prospecting,Retail,APAC,Professional Services,67032.71,2023-11-18,2024-05-27,191,2023-12-12,8,14,2,0.4132,0.297,2023,4
OPP-000046,Account_03396,Rep_002,Manager_02,Top,Prospecting,Media,EMEA,Add-On Services,10941.81,2022-05-30,2022-08-22,84,2022-07-28,13,33,6,0.7812,0.8504,2022,2
OPP-000047,Account_07049,Rep_016,Manager_02,Mid,Prospecting,Healthcare,LATAM,Support Bundle,15731.76,2022-01-12,2022-04-27,105,2022-04-19,8,13,8,0.553,0.513,2022,1
OPP-000048,Account_01093,Rep_030,Manager_02,Mid,Prospecting,Energy,APAC,Pro Plan,31582.84,2022-09-06,2023-01-12,128,2023-01-01,15,34,6,0.4777,0.5248,2022,3
OPP-000049,Account_02124,Rep_036,Manager_01,Low,Needs Analysis,Retail,APAC,Pro Plan,51614.79,2024-08-30,2024-12-31,134,2024-12-24,17,33,3,0.3678,0.3033,2024,3
OPP-000050,Account_02226,Rep_018,Manager_04,Mid,Needs Analysis,Real Estate,APAC,Support Bundle,19336.08,2023-08-09,2023-11-07,90,2023-09-09,18,7,2,0.5603,0.5826,2023,3
OPP-000051,Account_00527,Rep_010,Manager_03,Top,Qualification,Education,LATAM,Support Bundle,6978.93,2022-11-09,2023-01-25,77,2022-12-07,11,31,6,0.6713,0.7379,2022,4
OPP-000052,Account_07751,Rep_004,Manager_04,Top,Qualification,Technology,LATAM,Add-On Services,8606.01,2024-03-08,2024-05-22,75,2024-05-22,16,2,5,0.6626,0.6505,2024,1
OPP-000053,Account_01798,Rep_020,Manager_06,Mid,Proposal/Price Quote,Manufacturing,LATAM,Add-On Services,12002.1,2023-03-28,2023-04-28,31,2023-04-13,16,3,6,0.5251,0.5229,2023,1
OPP-000054,Account_07533,Rep_022,Manager_01,Mid,Proposal/Price Quote,Finance,North America,Add-On Services,13423.63,2022-12-05,2023-01-26,52,2023-01-04,13,3,1,0.5421,0.4166,2022,4
OPP-000055,Account_02132,Rep_042,Manager_07,Low,Needs Analysis,Education,APAC,Add-On Services,25121.41,2023-01-08,2023-04-11,93,2023-01-15,7,31,5,0.3914,0.4206,2023,1
OPP-000056,Account_07793,Rep_022,Manager_01,Mid,Proposal/Price Quote,Education,APAC,Add-On Services,21130.11,2023-07-24,2023-09-14,52,2023-09-11,3,32,0,0.4777,0.3984,2023,3
OPP-000057,Account_06400,Rep_048,Manager_06,Low,Value Proposition,Technology,North America,Starter Pack,8418.26,2023-04-05,2023-06-15,71,2023-04-14,8,14,0,0.4159,0.3521,2023,2
OPP-000058,Account_00938,Rep_040,Manager_05,Low,Prospecting,Media,EMEA,Pro Plan,51514.3,2024-08-27,2024-12-31,214,2025-02-15,15,18,5,0.4024,0.3627,2024,3
OPP-000059,Account_06712,Rep_011,Manager_04,Mid,Decision Makers,Finance,APAC,Support Bundle,13186.27,2022-08-23,2022-10-22,60,2022-10-12,4,3,4,0.4883,0.4938,2022,3
OPP-000060,Account_01625,Rep_037,Manager_02,Low,Proposal/Price Quote,Healthcare,EMEA,Add-On Services,8944.68,2024-03-23,2024-05-16,54,2024-05-08,4,21,1,0.3911,0.2888,2024,1
OPP-000061,Account_05420,Rep_037,Manager_02,Low,Negotiation/Review,Real Estate,North America,Starter Pack,18073.43,2024-12-27,2024-12-31,55,2025-01-24,17,23,0,0.4115,0.3437,2024,4
OPP-000062,Account_05207,Rep_027,Manager_06,Mid,Negotiation/Review,Energy,EMEA,Enterprise Suite,177251.32,2024-06-06,2024-06-27,21,2024-06-18,14,13,8,0.5125,0.5809,2024,2
OPP-000063,Account_03569,Rep_042,Manager_07,Low,Qualification,Media,APAC,Professional Services,108064.83,2024-09-17,2024-12-31,167,2025-01-15,11,17,1,0.3644,0.307,2024,3
OPP-000064,Account_05000,Rep_018,Manager_04,Mid,Closed Won,Education,APAC,Pro Plan,35426.41,2024-08-09,2024-09-03,25,2024-08-28,1,33,5,0.4856,0.4509,2024,3
OPP-000065,Account_02291,Rep_012,Manager_05,Mid,Value Proposition,Media,APAC,Starter Pack,14566.01,2023-06-14,2023-09-03,81,2023-07-28,18,2,8,0.5273,0.3684,2023,2
OPP-000066,Account_04549,Rep_013,Manager_06,Mid,Prospecting,Retail,LATAM,Support Bundle,20748.82,2024-04-12,2024-08-25,135,2024-08-16,16,30,0,0.4826,0.4387,2024,2
OPP-000067,Account_05440,Rep_006,Manager_06,Top,Qualification,Media,APAC,Add-On Services,24993.22,2023-05-14,2023-08-10,88,2023-06-23,16,35,5,0.7484,0.7493,2023,2
OPP-000068,Account_05758,Rep_028,Manager_07,Mid,Closed Lost,Energy,APAC,Professional Services,58836.08,2023-11-09,2023-12-02,23,2023-11-21,10,18,3,0.5522,0.5826,2023,4
OPP-000069,Account_07790,Rep_008,Manager_01,Top,Proposal/Price Quote,Finance,EMEA,Starter Pack,17520.07,2022-09-02,2022-10-16,44,2022-10-07,7,32,4,0.7216,0.65,2022,3
OPP-000070,Account_06821,Rep_047,Manager_05,Low,Decision Makers,Retail,APAC,Professional Services,90196.83,2023-08-03,2023-11-04,93,2023-08-16,8,25,2,0.3953,0.4143,2023,3
OPP-000071,Account_00373,Rep_020,Manager_06,Mid,Prospecting,Technology,APAC,Professional Services,62743.57,2022-09-17,2023-02-22,158,2022-11-27,5,33,1,0.5071,0.3534,2022,3
OPP-000072,Account_02792,Rep_001,Manager_01,Top,Decision Makers,Finance,North America,Add-On Services,9205.11,2024-09-07,2024-10-22,45,2024-10-06,9,32,1,0.715,0.6588,2024,3
OPP-000073,Account_01223,Rep_005,Manager_05,Top,Needs Analysis,Media,APAC,Enterprise Suite,131353.32,2022-04-20,2022-06-09,50,2022-04-30,3,17,1,0.6524,0.4362,2022,2
OPP-000074,Account_03117,Rep_036,Manager_01,Low,Proposal/Price Quote,Energy,LATAM,Professional Services,64696.78,2023-04-08,2023-06-24,77,2023-06-14,10,29,4,0.3517,0.3204,2023,2
OPP-000075,Account_05125,Rep_037,Manager_02,Low,Decision Makers,Retail,APAC,Professional Services,51992.25,2022-07-23,2022-10-22,91,2022-08-19,3,12,3,0.3893,0.2697,2022,3
OPP-000076,Account_03691,Rep_012,Manager_05,Mid,Value Proposition,Media,LATAM,Pro Plan,46405.36,2022-01-06,2022-02-19,44,2022-02-02,10,4,3,0.5242,0.5078,2022,1
OPP-000077,Account_05632,Rep_019,Manager_05,Mid,Proposal/Price Quote,Retail,APAC,Support Bundle,20532.95,2024-07-18,2024-09-10,54,2024-07-23,19,14,6,0.5217,0.4233,2024,3
OPP-000078,Account_06772,Rep_008,Manager_01,Top,Value Proposition,Finance,North America,Support Bundle,9816.65,2022-11-02,2022-12-28,56,2022-11-20,2,12,4,0.7112,0.4902,2022,4
OPP-000079,Account_01019,Rep_039,Manager_04,Low,Proposal/Price Quote,Energy,APAC,Professional Services,117713.06,2023-08-15,2023-09-27,43,2023-09-13,13,19,8,0.4055,0.4047,2023,3
OPP-000080,Account_06018,Rep_035,Manager_07,Low,Value Proposition,Real Estate,APAC,Enterprise Suite,74568.03,2022-03-23,2022-06-10,79,2022-05-18,1,7,3,0.3539,0.2743,2022,1
OPP-000081,Account_04721,Rep_044,Manager_02,Low,Negotiation/Review,Technology,EMEA,Professional Services,95884.44,2022-02-12,2022-03-27,43,2022-03-02,16,35,7,0.3922,0.3098,2022,1
OPP-000082,Account_06671,Rep_018,Manager_04,Mid,Qualification,Energy,North America,Professional Services,97934.93,2024-06-11,2024-10-12,123,2024-09-01,16,24,6,0.5257,0.5025,2024,2
OPP-000083,Account_03373,Rep_022,Manager_01,Mid,Needs Analysis,Energy,APAC,Enterprise Suite,84691.41,2022-11-26,2023-02-08,74,2023-01-08,13,4,7,0.505,0.5196,2022,4
OPP-000084,Account_07086,Rep_006,Manager_06,Top,Qualification,Logistics,North America,Starter Pack,6678.59,2022-08-26,2022-10-12,47,2022-09-21,18,31,6,0.6546,0.4388,2022,3
OPP-000085,Account_03622,Rep_004,Manager_04,Top,Qualification,Technology,EMEA,Starter Pack,14669.75,2024-10-17,2024-12-31,87,2025-01-06,9,10,4,0.7163,0.5006,2024,4
OPP-000086,Account_07973,Rep_029,Manager_01,Mid,Closed Won,Media,EMEA,Add-On Services,19005.77,2022-09-06,2022-09-26,20,2022-09-07,6,21,8,0.486,0.4213,2022,3
OPP-000087,Account_03781,Rep_001,Manager_01,Top,Value Proposition,Healthcare,EMEA,Enterprise Suite,134755.61,2023-04-06,2023-05-20,44,2023-04-14,16,20,8,0.7395,0.4974,2023,2
OPP-000088,Account_03742,Rep_046,Manager_04,Low,Qualification,Logistics,EMEA,Add-On Services,22419.26,2024-08-25,2024-12-19,116,2024-09-26,13,14,8,0.3802,0.41,2024,3
OPP-000089,Account_06472,Rep_048,Manager_06,Low,Closed Won,Education,APAC,Enterprise Suite,73159.08,2023-07-20,2023-08-20,31,2023-08-14,17,19,0,0.3474,0.3374,2023,3
OPP-000090,Account_03659,Rep_019,Manager_05,Mid,Proposal/Price Quote,Logistics,LATAM,Professional Services,84548.25,2024-09-29,2024-10-31,32,2024-10-09,12,23,8,0.5658,0.5306,2024,3
OPP-000091,Account_05714,Rep_049,Manager_07,Low,Value Proposition,Retail,LATAM,Add-On Services,22809.66,2023-10-22,2024-01-08,78,2023-11-16,8,28,0,0.3768,0.3477,2023,4
OPP-000092,Account_05437,Rep_021,Manager_07,Mid,Proposal/Price Quote,Finance,LATAM,Support Bundle,11568.76,2024-02-20,2024-04-21,61,2024-03-16,2,10,8,0.568,0.6263,2024,1
OPP-000093,Account_04309,Rep_038,Manager_03,Low,Needs Analysis,Energy,North America,Enterprise Suite,60433.14,2024-06-20,2024-09-12,84,2024-07-03,5,28,2,0.3497,0.2305,2024,2
OPP-000094,Account_05324,Rep_005,Manager_05,Top,Value Proposition,Healthcare,APAC,Starter Pack,14388.89,2023-11-25,2023-12-29,34,2023-12-21,18,26,5,0.6583,0.5328,2023,4
OPP-000095,Account_01924,Rep_041,Manager_06,Low,Proposal/Price Quote,Manufacturing,EMEA,Add-On Services,8921.29,2022-03-15,2022-06-01,78,2022-03-24,3,29,1,0.4039,0.3195,2022,1
OPP-000096,Account_05686,Rep_049,Manager_07,Low,Decision Makers,Manufacturing,North America,Enterprise Suite,145756.25,2024-06-27,2024-08-24,58,2024-07-08,2,22,0,0.3898,0.4244,2024,2
OPP-000097,Account_04352,Rep_019,Manager_05,Mid,Needs Analysis,Education,EMEA,Add-On Services,26397.97,2022-10-26,2023-01-25,91,2022-11-27,6,13,1,0.4973,0.3674,2022,4
OPP-000098,Account_07478,Rep_040,Manager_05,Low,Closed Won,Media,EMEA,Professional Services,104001.46,2023-05-09,2023-06-11,33,2023-06-10,8,31,4,0.4173,0.3573,2023,2
OPP-000099,Account_05551,Rep_030,Manager_02,Mid,Qualification,Logistics,EMEA,Enterprise Suite,156592.16,2024-08-10,2024-11-04,86,2024-09-16,3,30,5,0.5034,0.5615,2024,3
OPP-000100,Account_06925,Rep_038,Manager_03,Low,Qualification,Manufacturing,EMEA,Add-On Services,18009.47,2023-05-28,2023-11-02,158,2023-09-22,13,32,1,0.3991,0.4099,2023,2
OPP-000101,Account_02419,Rep_016,Manager_02,Mid,Needs Analysis,Technology,LATAM,Starter Pack,17374.72,2023-08-29,2023-10-25,57,2023-10-13,9,2,0,0.5205,0.5535,2023,3
OPP-000102,Account_06570,Rep_039,Manager_04,Low,Proposal/Price Quote,Real Estate,EMEA,Starter Pack,17279.12,2023-04-17,2023-06-12,56,2023-05-26,7,18,2,0.3716,0.2435,2023,2
OPP-000103,Account_06461,Rep_041,Manager_06,Low,Prospecting,Energy,North America,Support Bundle,7087.56,2022-03-22,2022-10-24,216,2022-06-10,19,25,2,0.3663,0.4121,2022,1
OPP-000104,Account_01645,Rep_006,Manager_06,Top,Closed Won,Finance,APAC,Starter Pack,12898.76,2024-04-30,2024-05-20,20,2024-05-06,17,34,4,0.739,0.646,2024,2
OPP-000105,Account_06589,Rep_011,Manager_04,Mid,Qualification,Healthcare,LATAM,Add-On Services,15762.09,2023-08-28,2023-11-17,81,2023-10-11,3,11,3,0.5379,0.552,2023,3
OPP-000106,Account_06478,Rep_044,Manager_02,Low,Proposal/Price Quote,Education,North America,Add-On Services,26087.45,2024-01-20,2024-04-05,76,2024-02-01,9,9,7,0.3489,0.3131,2024,1
OPP-000107,Account_06738,Rep_024,Manager_03,Mid,Proposal/Price Quote,Real Estate,North America,Support Bundle,14052.84,2023-06-21,2023-07-24,33,2023-07-16,8,32,0,0.5139,0.5622,2023,2
OPP-000108,Account_01814,Rep_040,Manager_05,Low,Closed Won,Healthcare,LATAM,Professional Services,43301.9,2023-11-03,2023-11-28,25,2023-11-23,10,28,1,0.3529,0.3637,2023,4
OPP-000109,Account_00952,Rep_009,Manager_02,Top,Prospecting,Healthcare,EMEA,Enterprise Suite,64752.68,2023-09-16,2023-12-26,101,2023-11-19,18,10,6,0.6601,0.6604,2023,3
OPP-000110,Account_06081,Rep_030,Manager_02,Mid,Needs Analysis,Finance,LATAM,Support Bundle,18192.27,2024-05-08,2024-07-03,56,2024-06-15,4,33,6,0.5414,0.374,2024,2
OPP-000111,Account_03643,Rep_018,Manager_04,Mid,Prospecting,Retail,APAC,Starter Pack,18518.3,2023-03-21,2023-06-20,91,2023-05-17,4,25,8,0.5069,0.4234,2023,1
OPP-000112,Account_07932,Rep_042,Manager_07,Low,Needs Analysis,Healthcare,LATAM,Add-On Services,29618.37,2023-07-20,2023-11-25,128,2023-09-07,3,15,0,0.4169,0.4281,2023,3
OPP-000113,Account_01682,Rep_004,Manager_04,Top,Negotiation/Review,Healthcare,EMEA,Pro Plan,23475.24,2022-09-15,2022-10-06,21,2022-10-04,19,15,3,0.7599,0.7061,2022,3
OPP-000114,Account_07033,Rep_022,Manager_01,Mid,Negotiation/Review,Finance,EMEA,Professional Services,112759.19,2022-01-06,2022-02-04,29,2022-01-15,18,18,2,0.4796,0.4298,2022,1
OPP-000115,Account_02935,Rep_008,Manager_01,Top,Proposal/Price Quote,Retail,APAC,Enterprise Suite,114737.85,2022-09-27,2022-10-20,23,2022-09-28,1,13,4,0.6561,0.4654,2022,3
OPP-000116,Account_06109,Rep_004,Manager_04,Top,Prospecting,Healthcare,LATAM,Add-On Services,22942.31,2024-12-13,2024-12-31,70,2024-12-28,15,25,8,0.7554,0.7114,2024,4
OPP-000117,Account_00356,Rep_038,Manager_03,Low,Prospecting,Logistics,APAC,Professional Services,65988.61,2023-03-30,2023-11-07,222,2023-09-04,15,3,0,0.3637,0.3944,2023,1
OPP-000118,Account_05836,Rep_031,Manager_03,Low,Negotiation/Review,Energy,North America,Add-On Services,29976.18,2022-08-10,2022-09-13,34,2022-09-11,3,22,2,0.3429,0.3892,2022,3
OPP-000119,Account_04894,Rep_005,Manager_05,Top,Prospecting,Logistics,APAC,Professional Services,111420.59,2023-10-28,2024-01-01,65,2023-12-16,15,34,6,0.724,0.83,2023,4
OPP-000120,Account_03700,Rep_007,Manager_07,Top,Negotiation/Review,Retail,LATAM,Enterprise Suite,126324.18,2023-03-17,2023-04-02,16,2023-03-31,11,31,6,0.7876,0.7179,2023,1
OPP-000121,Account_05449,Rep_027,Manager_06,Mid,Proposal/Price Quote,Manufacturing,APAC,Starter Pack,14562.18,2024-05-24,2024-07-14,51,2024-06-14,5,32,1,0.5153,0.4966,2024,2
OPP-000122,Account_06100,Rep_006,Manager_06,Top,Negotiation/Review,Real Estate,EMEA,Enterprise Suite,173557.49,2024-06-03,2024-06-27,24,2024-06-07,18,5,8,0.6545,0.5174,2024,2
OPP-000123,Account_07157,Rep_036,Manager_01,Low,Needs Analysis,Education,North America,Enterprise Suite,172075.87,2024-04-21,2024-09-06,138,2024-07-21,10,21,5,0.3766,0.3616,2024,2
OPP-000124,Account_01838,Rep_007,Manager_07,Top,Decision Makers,Healthcare,APAC,Pro Plan,28831.8,2022-11-13,2022-12-19,36,2022-12-14,18,25,1,0.7148,0.5909,2022,4
OPP-000125,Account_04989,Rep_049,Manager_07,Low,Qualification,Manufacturing,North America,Pro Plan,23180.01,2024-05-28,2024-10-09,134,2024-06-04,6,19,4,0.4161,0.4756,2024,2
OPP-000126,Account_05385,Rep_022,Manager_01,Mid,Needs Analysis,Education,North America,Pro Plan,46648.13,2022-10-21,2023-01-18,89,2023-01-02,5,3,1,0.5002,0.5287,2022,4
OPP-000127,Account_02793,Rep_048,Manager_06,Low,Value Proposition,Finance,APAC,Add-On Services,12042.62,2024-05-09,2024-08-12,95,2024-07-07,10,22,1,0.4112,0.4364,2024,2
OPP-000128,Account_00669,Rep_004,Manager_04,Top,Prospecting,Manufacturing,LATAM,Professional Services,96863.32,2022-04-12,2022-08-12,122,2022-07-08,14,33,7,0.7363,0.6326,2022,2
OPP-000129,Account_03522,Rep_027,Manager_06,Mid,Qualification,Healthcare,APAC,Professional Services,109213.62,2022-08-22,2022-12-21,121,2022-10-06,19,33,8,0.4727,0.3135,2022,3
OPP-000130,Account_00449,Rep_043,Manager_01,Low,Qualification,Technology,EMEA,Pro Plan,60700.33,2024-03-20,2024-07-15,117,2024-06-05,10,15,2,0.417,0.3024,2024,1
OPP-000131,Account_04075,Rep_049,Manager_07,Low,Qualification,Education,EMEA,Starter Pack,10280.12,2022-09-03,2023-01-16,135,2022-09-05,5,26,8,0.4157,0.4453,2022,3
OPP-000132,Account_03253,Rep_046,Manager_04,Low,Qualification,Technology,LATAM,Professional Services,74245.0,2023-12-27,2024-05-31,156,2024-01-15,1,31,1,0.3735,0.2939,2023,4
OPP-000133,Account_02372,Rep_021,Manager_07,Mid,Decision Makers,Healthcare,LATAM,Professional Services,109095.57,2024-04-08,2024-05-18,40,2024-05-05,1,22,2,0.5525,0.6353,2024,2
OPP-000134,Account_03578,Rep_040,Manager_05,Low,Value Proposition,Healthcare,EMEA,Support Bundle,14142.56,2024-01-12,2024-05-04,113,2024-01-24,14,27,8,0.4004,0.4495,2024,1
OPP-000135,Account_02729,Rep_006,Manager_06,Top,Needs Analysis,Finance,North America,Starter Pack,8463.93,2023-11-27,2024-02-07,72,2023-12-26,17,9,8,0.7129,0.5094,2023,4
OPP-000136,Account_06677,Rep_033,Manager_05,Low,Qualification,Finance,EMEA,Starter Pack,13343.98,2023-12-21,2024-06-04,166,2024-06-04,4,11,4,0.3594,0.3543,2023,4
OPP-000137,Account_07793,Rep_013,Manager_06,Mid,Prospecting,Energy,LATAM,Pro Plan,37537.93,2022-06-04,2022-10-17,135,2022-07-20,19,30,5,0.4798,0.473,2022,2
